Date,Close
 2013/09/18,7.06
 2013/09/23,8.12
 2013/09/24,7.7
 2013/09/25,7.81
 2013/09/26,7.27
 2013/09/27,7.27
 2013/09/30,7.33
 2013/10/08,7.8
 2013/10/09,7.71
 2013/10/10,7.99
 2013/10/11,7.94
 2013/10/14,8.07
 2013/10/15,7.84
 2013/10/16,7.71
 2013/10/17,7.7
 2013/10/18,8.07
 2013/10/21,8.56
 2013/10/22,8.45
 2013/10/23,8.09
 2013/10/24,8.47
 2013/10/25,8.52
 2013/10/28,8.99
 2013/10/29,8.85
 2013/10/30,9.18
 2013/10/31,8.71
 2013/11/01,8.54
 2013/11/04,8.6
 2013/11/05,8.65
 2013/11/06,8.27
 2013/11/07,8.13
 2013/11/08,7.98
 2013/11/11,8.01
 2013/11/12,8.16
 2013/11/13,7.93
 2013/11/14,8.07
 2013/11/15,8.12
 2013/11/18,8.3
 2013/11/19,8.33
 2013/11/20,8.25
 2013/11/21,7.99
 2013/11/22,8.22
 2013/11/25,8.06
 2013/11/26,8.38
 2013/11/27,8.22
 2013/11/28,8.51
 2013/11/29,8.58
 2013/12/02,8.1
 2013/12/03,8.34
 2013/12/04,8.58
 2013/12/05,8.74
 2013/12/06,8.71
 2013/12/09,8.73
 2013/12/10,9.05
 2013/12/11,8.7
 2013/12/12,8.95
 2013/12/13,9.17
 2013/12/16,9.11
 2013/12/17,8.87
 2013/12/18,9.26
 2013/12/19,9.1
 2013/12/20,9.61
 2013/12/23,9.23
 2013/12/24,9.35
 2013/12/25,9.24
 2013/12/26,8.72
 2013/12/27,9.07
 2013/12/30,9
 2013/12/31,9.13
 2014/01/02,8.85
 2014/01/03,8.62
 2014/01/06,8.23
 2014/01/07,8.19
 2014/01/13,8.2
 2014/01/14,8.6
 2014/01/15,8.71
 2014/01/16,8.69
 2014/01/17,8.31
 2014/01/20,8.47
 2014/01/21,8.33
 2014/01/22,8.54
 2014/01/23,8.7
 2014/01/24,8.76
 2014/01/27,8.43
 2014/01/28,8.58
 2014/01/29,8.54
 2014/01/30,8.3
 2014/02/07,7.99
 2014/02/10,8.21
 2014/02/11,8.05
 2014/02/12,8.27
 2014/02/13,8.11
 2014/02/14,8.14
 2014/02/17,8.2
 2014/02/18,8.06
 2014/02/19,8.09
 2014/02/20,7.78
 2014/02/21,7.72
 2014/02/24,6.98
 2014/02/25,6.56
 2014/02/26,6.27
 2014/02/27,5.98
 2014/02/28,6.18
 2014/03/03,6.45
 2014/03/04,6.17
 2014/03/05,6.15
 2014/03/06,6.64
 2014/03/07,6.6
 2014/03/10,6.64
 2014/03/11,6.94
 2014/03/12,7.02
 2014/03/13,6.95
 2014/03/14,6.95
 2014/03/17,7.27
 2014/03/18,7.03
 2014/03/19,6.74
 2014/03/20,6.41
 2014/03/21,6.69
 2014/03/24,6.78
 2014/03/25,6.85
 2014/03/26,7.07
 2014/03/27,7.03
 2014/03/28,7.23
 2014/03/31,7.82
 2014/04/01,8.34
 2014/04/02,8.15
 2014/04/03,8.09
 2014/04/04,8.07
 2014/04/08,8.27
 2014/04/09,8.29
 2014/04/10,8.22
 2014/04/11,8.57
 2014/04/14,8.42
 2014/04/15,8.04
 2014/04/16,8.11
 2014/04/17,8.16
 2014/04/18,8.25
 2014/04/21,8.07
 2014/04/22,7.84
 2014/04/23,8.09
 2014/04/24,8.38
 2014/04/25,8.34
 2014/04/28,8.18
 2014/04/29,8.33
 2014/04/30,7.85
 2014/05/05,8.03
 2014/05/06,7.77
 2014/05/07,7.47
 2014/05/08,7.56
 2014/05/09,7.75
 2014/05/13,7.8
 2014/05/14,7.85
 2014/05/15,7.67
 2014/05/16,7.73
 2014/05/19,7.41
 2014/05/20,7.39
 2014/05/21,7.38
 2014/05/22,7.51
 2014/05/23,7.6
 2014/05/26,7.67
 2014/05/27,7.63
 2014/05/28,7.89
 2014/05/29,7.88
 2014/05/30,7.95
 2014/06/03,8.09
 2014/06/04,7.88
 2014/06/05,7.99
 2014/06/06,8
 2014/06/09,8.05
